房源的标题,所在区,地址,价格,类型,面积,建造时间
高远森霖城,长安,石家庄市红星街与古城西路交口东南角,10600,住宅,52.59-157.9㎡,在售
绿城·悦园,桥西,红旗大街西美花街南行800米路东,12000,住宅,68.83-119.97㎡,在售
绿城诚园,新华,和平路与植物园街交口北行1000米路西,10500,住宅,76-273㎡,在售
秀水名邸,鹿泉,和平路与古城西路交口北行500米（秀水...,10000,住宅,55-293.26㎡,在售
石家庄 | 众人·翡丽湾,元氏,胜利大街南延线与沙河湿地公园交口东行...,5400,住宅,85-145㎡,在售
保利裕华和颂,裕华,裕华区东二环与槐北路交叉口东行60米路...,16000,住宅,97-153㎡,在售
龙溪城,长安,胜利北大街石津灌渠北岸东200米路北,9800,住宅,87.54-138㎡,在售
泰丰翠屏山水,鹿泉,槐安路与西二环交口西行7公里路北,10500,住宅,94.5-213.5㎡,在售
鑫界9号院,桥西,时光街和振岗路交口东南侧（时光公园南...,11000,住宅,89.33-221.41㎡,在售
花海十二城,长安,秦岭北街与东垣东路交口（地铁1号线西...,8600,住宅,83.19-111.83㎡,在售
保艾尔云麓,元氏,青银高速与红旗大街交口南行5公里,48,别墅,89.89-378.41㎡,在售
汀香郡,长安,天山大街和洨河大道交口东北角,12500,住宅,85-146㎡,在售
当代府MOMΛ,栾城,建设南大街与环城水系交口,12800,住宅,104-138㎡,在售
万科翡翠书院,长安,北二环与谈固大街交口北行800米路东,16500,住宅,83-149㎡,在售
紫御天成苑,新华,石清路与泰华街交口西北角,12000,住宅,99.93-192.85㎡,在售
和誉府,新华,新华区和平路变电街东西两侧,20000,住宅,123.2-158.33㎡,在售
裕馨书院,裕华,翟营大街槐北路东南角,15600,住宅,22245㎡,在售
城发投·雅郡,正定,新城大街与阳光路交叉口东侧,11000,住宅,100.72-182.05㎡,在售
城发投·云澜悦府（华药北项目）,长安,和平路与体育大街交口东北角,21000,住宅,118-195㎡,在售
城发投·云歌朗樾,新华,中华大街与北城路交口西行约300米,17500,住宅,129-159㎡,在售
磊阳湖畔,鹿泉,上庄大街与槐安路交口西行1000米路南,10000,住宅,130-144㎡,在售
河滨景苑,鹿泉,鹿泉经济开发区方安街73号,8000,住宅,89.93-118.51㎡,在售
新兴花语原乡(新兴城),鹿泉,新华路与昌盛大街交汇处西行800米路北...,7500,住宅,87-134㎡,在售
幸福城,桥西,新华西路和中营大街交汇处西北角,9500,住宅,89.39-118.8㎡,在售
润江·云璞,长安,石家庄市长安区和平路与长征街交口南行...,30000,住宅,147-208㎡,在售
保利·天汇,桥西,裕华路与南长街交叉口南行200米路东,16000,住宅,54-215㎡,在售
云杉溪谷,鹿泉,鹿泉区槐安西路与上庄大街交口东南角,12500,住宅,132.05-183.7㎡,在售
紫林湾,长安,石兆大街,8500,住宅,87.88-160㎡,在售
天润福庭,藁城,扬子路与开发大街西北角（明珠公园北）,9800,住宅,77-95㎡,在售
润江新华壹号院,新华,新华西三庄街与联盟路交叉口西南角 （...,20000,住宅,109-175㎡,在售
正顺府,正定,正定新区阳光路78号（太行北大街周汉河...,10000,住宅,103-169㎡,在售
万科紫院,裕华,南二环与建通街交汇处南行约50米路东,20000,住宅,103-173㎡,在售
福熙郡,鹿泉,上庄镇上庄大街与新兴路交口东北角,9900,住宅,94-127㎡,在售
长安润江壹号,长安,体育大街与丰收路交口东南角,16500,住宅,101-124㎡,在售
华山•星岄府,开发,祁连街与槐安东路交口南行500米路东,15500,住宅,97.66-141.71㎡,在售
福临名邸,鹿泉,南二环石铜路出口南行3公里,9888,住宅,91.05-144.56㎡,在售
天玺华府,裕华,槐安东路与东二环南路交汇处,20000,住宅,131-163㎡,在售
巨科合园,新华,西三庄街与北二环交口东北角,13800,住宅,62.93-122.01㎡,在售
宝晟蓝庭,鹿泉,和平西路与石柏南大街交口西北角,8480,住宅,127.4-194.52㎡,在售
保利城（五期）,鹿泉,青龙山大道与新开路交叉口,7500,住宅,87-162㎡,在售
万科正定文化村,正定,新城大街园博园北行300米路西（地铁1号...,12500,住宅,89-160㎡,在售
大者安吉,桥西,师范街与自强路交汇处,21000,住宅,102.54-158.54㎡,在售
天地锦绣华庭,栾城,裕翔街与衡井线交叉口东行1000米路北,7300,住宅,86.92-126.72㎡,在售
海龙湾,鹿泉,石家庄市红旗大街与学院路交口西行500...,8999,住宅,84.22-121.76㎡,在售
东胜未来云,长安,天山北大街与槐河路交口东行500米路北,9500,住宅,78.46-117.45㎡,在售
和山悦府,鹿泉,石家庄鹿泉区石铜路与红旗路西北角（石...,8000,住宅,99-136㎡,在售
和西苑,新华,和平路与西三庄大街交口北行200米路西,21500,住宅,96.46-152.69㎡,在售
领南未来,栾城,裕翔街与南三环南行500米路东,8000,住宅,72.66-118.16㎡,在售
力高·悦麓兰庭,鹿泉,槐安西路与上庄大街交口西南角,10500,住宅,108-142㎡,在售
顺通紫辰院,新华,泰华街北城路交口西行50米路南,15888,住宅,100-183.8㎡,在售
汇君城,新华,石清路88号,16000,住宅,161.25-263.38㎡,在售
奥冠奥北公元,长安,建华北大街,17000,住宅,133-313㎡,在售
万合名著,鹿泉,上庄台头村,10600,住宅,107.2-160.52㎡,在售
帝王国际万悦府,裕华,建设大街与槐北路交口东南角,32000,住宅,160.18-349.47㎡,在售
中冶德贤华府,新华,中华大街与赵佗路交口赵佗公园东侧,19000,住宅,128-380㎡,在售
恒新苑,桥西,中华南大街新石北路交叉口南行60米路东,12000,住宅,43492㎡,在售
国赫天著,长安,胜利大街与石纺路交叉口西行500米路北,18000,住宅,95-236㎡,在售
万科翡翠四季,裕华,南二环东延线与仙台街交口南行1000米,14000,住宅,88-136㎡,在售
铂云府,新华,新华区西三庄街与上城路交口（西三庄地...,19000,住宅,131-167㎡,在售
东创悦城,藁城,东至清源大街，西至清源西街，南至纬二...,8500,住宅,80-120.97㎡,在售
大尚盛世华府,鹿泉,红旗大街与南三环交口南行2000米路西,10000,住宅,126.8-127.04㎡,在售
地铁·万科蓝湾,长安,长安区胜利大街古城东路交口东行约200...,15000,住宅,105-120㎡,在售
新里城西斯莱公馆,桥西,石家庄桥西区西二环与玉泉路交口西南,11300,住宅,82.65-146.78㎡,在售
翰林观天下,桥西,红旗大街与建国路交叉口西行100米路北,15500,住宅,84.92-228㎡,在售
嘉实·万科云庐,新华,联盟路与农机街交口南行200米路西,22000,住宅,162-222㎡,在售
檀香篱园,鹿泉,白鹿泉乡雅园路39号,8600,住宅,94.79-141.04㎡,在售
壹品观湖.雅苑,鹿泉,大河镇古运河路99号,6980,住宅,105.39-136.17㎡,在售
茂润海棠苑,鹿泉,南二环西延线与西三环交口西行1000米,9888,住宅,110.51-134.34㎡,在售
远洋安联万和学府,正定,正定新区太行大街和正无路交口西行200...,12000,住宅,80-140㎡,在售
碧桂园凤凰城,元氏,红旗大街与青银高速交汇处南行100米路...,7800,住宅,95-140㎡,在售
润江云玺,裕华,建华大街与方兴路交口东行200米路南,24000,住宅,85-139㎡,在售
福安壹號院,正定,隆兴路与东临济街东北角,13500,住宅,131㎡,在售
中海·熙岸,正定,正定新区 滹沱河畔 奥体中心西侧（正定...,12500,住宅,80-140㎡,在售
保利·阅云台,桥西,红旗大街与汇丰路交口东行500米路南,15500,住宅,53-272㎡,在售
正定熙湖三期,正定,清标街与罗家庄路交口,9000,住宅,81-110㎡,在售
同祥城,开发,祁连街,15000,住宅,78.2-204.38㎡,在售
远洋晟庭,长安,翟营大街与和平路交叉口北行200米路东...,19500,住宅,127-190㎡,在售
荣盛首府Ⅱ期·长安印,长安,建设大街与华新路交口北行500米,25000,住宅,135-259㎡,在售
恒基滨河江来,长安,东二环与石津路出口北行约100米路东,14000,住宅,95-140㎡,在售
东华国樾府,裕华,裕华区东二环与学苑路交叉口北行400米...,16000,住宅,108.55-120.15㎡,在售
天海容天下（容域园）,长安,京珠高速与和平路交叉口西南角,15900,住宅,83.54-134.92㎡,在售
和风雅居,正定,旺泉北街与京化路东南角,10600,住宅,87.71-147.42㎡,在售
安联天颂,桥西,槐安路与南长街交口东南角,22500,住宅,100.12-188.76㎡,在售
